Response ID,Q7_Response_x,Category_o,Category_G,Agreed,Category_Final,Group
R_2wROtZf2wYZqOhH,"Yes, AI is evolving so quickly I see no reason why robots cannot replace many computer functions.",positive,positive,True,positive,1
R_8CsupRsHUkzp8wc,"I don't think so, I think people will still be using screens on phones and TV's and tablet, so I can't see that disappearing within a decade.",negative,negative,True,negative,1
R_11B8B59TLUA2Fba,Mayne but I'm really not sure because I know that maybe there could be some tech errors,neutral,neutral,True,neutral,1
R_23vVQwWwBNitwIL,In some aspects yes for physical demonstration however the overall cost and benefits to do so are not strong enough as other existing and implemented technologies are already doing a decent job,neutral,neutral,True,neutral,1
R_8l3v7bvHix7cwus,"I hope not, well not altogether atleast. It's very odd and impersonal. It's a clever idea but the one tone robot voice just makes me uninterested from the start. ",negative,negative,True,negative,1
R_8h45Bl2rBd4YokF,definetley if it gets more advanced and developed,positive,positive,True,positive,1
R_6WTh5fkmmju4rMe,"Absolutely, this provides a clear, real-life situation and how the robot behaves/interprets data. Some students may have difficulties visualizing such concepts without a live model before them. ",positive,positive,True,positive,1
R_2dEwWncOsNM4aHb,"Yes. I think the rate at which technology, particularly AI is developing, this is a strong possibility. ",positive,positive,True,positive,1
R_22L4X9u1jRrfLHR,Yes as they are more interactive,positive,positive,True,positive,1
R_4g7PgQAEpdy447j,I don't think so because I don't think within ten year people will accept it. It will take longer than that to condition people to accept these robots.,negative,negative,True,negative,1
R_2KDSAYY7XD3fw0n,"maybe so, they are still a bit clunky looking, so i think they would have to work smoother",neutral,neutral,True,neutral,1
R_8hFRJfA66RqH0ml,"Maybe, maybe not. I think screen-based computers with videos have the capacity to show show more content and nuanced details.",neutral,neutral,True,neutral,1
R_2ygQRwc1Wa704KJ,"no, , it would always be useful for people to see a map of what a computer is doing to understand the thought process.",negative,negative,True,negative,1
R_2e37qssbFbfwvcs,This robots could definitely serve as a replacement because of how it will be able to easily explain orally and also show how the concept works,positive,positive,True,positive,1
R_7thPITBGj8oR24n,I absolutely think they can replace convention screen base computers in a few years because people do not want to work anymore,positive,positive,True,positive,1
R_24PvrUshd27PTyx,I think it could be a possibility but it seems very costly and I'm not sure what new or enhanced features would be added that it would be necessary to invest in these robots to replace existing computers that work fine.,neutral,neutral,True,neutral,1
R_50qjFKeDpFOb2cV,"Its possible yes, the prototype already displays a vision where one could conceive that this would be possible within the next 10 years. But it would likely take AI progressing as fast as it is now to achieve this.",positive,neutral,False,positive,1
R_82suoiCIdhtPLiC,Technically yes. But with the drive for ever more compact devices it would seem counter productive,neutral,neutral,True,neutral,1
R_2oiHNNtkmJE6Km0,No - I still think it is important for humans to have high rates of involvement in these scenarios.,negative,negative,True,negative,1
R_1qsQZ6gQ4kFlmjT,"I believe they could help along side a screen based computer to help establish both a visual and kinetic means of learning for those that benefit over one or the other, however I don’t think a complete replacement would help in the teaching process. ",neutral,negative,False,negative,1
R_1iufT7b6KSzCazL,I don't think so because we can just use an ai system that doesn't take up too much space.,negative,negative,True,negative,1
R_8gBeOiczOHl0yWa,highly unlikely there is still a long way to go including affordability compared to computers,negative,negative,True,negative,1
R_3QURtGKcCUfdu0h,"Maybe, it is quite possible.",neutral,neutral,True,neutral,1
R_6rDB82KkvmrnTGa,"I hope not. AI in and of itself is a great tool, but the fact nobody Really knows how it works and that it IS making up it's own language..scary stuff. The termiinator coming to life for real",negative,negative,True,negative,1
R_8t9i4ToV1MasOGt,"In some way, the robot will probably still need more input to understand what is required in order to explain well to other people ",neutral,neutral,True,neutral,1
R_8zbVEVVcPAe2rLZ,Unlikely to replace screen-based computers given the current need for those computers which is unlikely to go away. The robots don't have the same reason to be scaled.,negative,negative,True,negative,1
R_2uzhAM7oexIg1Rn,"It would be nice, but probbaly not cost-effective to do, compared to screen-based learning. Screen are already widely available, and can deliver a wide range of content or services.",neutral,negative,False,neutral,1
R_49jLRMZcGtAylhf,"Probably, but seems excessive",neutral,neutral,True,neutral,1
R_2DYm4DeSRv1Z0tW,Possibly. Very practical. But expensive.,neutral,neutral,True,neutral,1
R_202cppqL762UObI,"yes most definitely, i believe AI and robotics are the future",positive,positive,True,positive,1
R_8PdvFvLEeaZYmqd,"Yes, I think to have a moving object in the room would be very engaging ",positive,positive,True,positive,1
R_8PgRQO83X89zHzI,"Yes, technology is moving so fast each yeah I can see them helping us learn so many different things ",positive,positive,True,positive,1
R_4IFreW6M14cS3NT,Yes because seeing a real world example in real life can give students a better and deeper understanding on certain more nuanced and complicated topics,positive,positive,True,positive,1
R_3LLpjM6koKX9sMg,"Possibly, but screens are accessible at all times while robots may not be.",neutral,neutral,True,neutral,1
R_8CwtPjfrWH1PuvO,"Probably will yes, but they will get more interesting",positive,neutral,False,positive,1
R_8LC0HISRqHFcE4d,"Maybe, I think in that case they should be interacting with the viewers.",neutral,neutral,True,neutral,1
R_2TZ4gmDqAuinsiH,"No, I believe a human will always be better at explaining misconceptions that a robot may not pick up on",negative,negative,True,negative,1
R_8J1UOPpkaZKAtep,I think so. But at the result of negative impact on humanity.,positive,neutral,False,positive,1
R_2IzJKpiro5McpuR,Yes as there is a decline in teaching jobs and also students are not learning with some teachers,positive,positive,True,positive,1
R_2szfNwsCWzopt3B,"No, some students may not engage with a talking voice and instead learn by doing",negative,negative,True,negative,1
R_23mBFKrau9dzj3K,Yes because it is much easier to understand with a real-life scenario as an example.,positive,positive,True,positive,1
R_8SW8wR0XkmmmCiJ,Possible yes with how technology is evolving and progressing,positive,neutral,False,positive,1
R_6fxq6Jbh4RuJ65X,"I think for certain things it can, however for some people working with a robot could be quite intimidating but over the next ten years we will likely get used to working with this kind of technology",neutral,neutral,True,neutral,1
R_8p0dy1rnLWqa9ch,It could be used to supplement learning. It wouldn't be a replacement as screen based computers have videos and more ways of learning such as various apps.,negative,negative,True,negative,1
R_8aLBXEZkV349qPK,"I don't think so, the expense would be too great. Robots would also need to be pitched to the receiving audience, ie not be too complicated to understand",negative,negative,True,negative,1
R_8QQlzgDuzRkNyf8,"They might as they could show more physical understanding of the topics than would be able to be shown through a computer screen, allowing the person using the understand more clearly ",positive,neutral,False,neutral,1
R_3dtqVOunTsZnHkO,No this robot is too advanced,negative,negative,True,negative,1
R_7vrVeZ8fSb2iox3,"Yes and no. Yes it would be nice to have a robot at hand but people seem to work, and learn better with actual human interaction. ",neutral,neutral,True,neutral,1
R_1O6SHMbN5T3E7K2,"Absolutely, people have different learning types, and robots like this can help simplify and explain things for people who would rather look and learn from a robot rather than other alternatives. ",positive,positive,True,positive,1
R_3OqXAWc2hJRfWhj,"Yes, it's definitely can replace current screen based computers. It's going to be better as it can demonstrate the topics that it's explaining in an entertaining engagement way.",positive,positive,True,positive,1
R_54kferJTy9qTgzf,No it is too expensive.,negative,negative,True,negative,1
R_8ho9KtbEqFcCFTR,no you need human interaction as people see and understand things differently,negative,negative,True,negative,1
R_2mxiQ6obKuyib1P,"No, as I don't think it is always necessary for a robot when a computer screen would give sufficient information.",negative,negative,True,negative,1
R_2JCWG0PB6B7JBl0,Yes it brings the explanation to life when the robot can move and describe its own actions and processes,positive,positive,True,positive,1
R_1CKmaJXJxmA2uVw,"I think for some people who are auditory leaners, this could be a great alternative to text based learning. That being said, as people learn in many different ways, I don't personally see robots such as this completely replacing screen based models.",neutral,negative,False,negative,1
R_7PpStFSG5EnF08V,They could because they are so advanced already.,positive,positive,True,positive,1
R_2SUyGZQgdtjmB3z,"No, because while the technology is still developing fast, people get sceptical and end of the day, humans develope robots. ",negative,negative,True,negative,1
R_5P6xNOoIp9cQ41p,I have no particular input on this issue.,neutral,neutral,True,neutral,1
R_8iWi6Q4Vec15PpP,Partly but I don't think they could completely replace screen based computers. They could be an excellent replacement in technical areas. Especially demonstrating physical actions.,neutral,neutral,True,neutral,1
R_32kae309HOf4c6t,The words spoken by the robot were concise and  understandable. But words alone would not be an ideal teaching tool - they should be accompanied by some sort of visual aid.,negative,neutral,False,negative,1
R_6lyE2aRuPqRfoR8,"Absolutely, yes. They will be able to teach and instruct all subjects.",positive,positive,True,positive,1
R_7M2EkpIw7LDkgQ9,yes because a lot of advancement is coming in the next 10 years.,positive,positive,True,positive,1
R_8MT2e1bNofM7BYz,"I'm not entirely sure. I think it would certainly help explain things because of the fact that it can express, through movements, what it's trying to explain. Like how humans use our arms etc to emphasise points. However having a screen can mean showing so much more to help visualise aspects of conversations and topics.",neutral,neutral,True,neutral,1
R_20Nyw7fWaQpObfY,I think it would take longer to adopt such technology in the workplace,negative,neutral,False,negative,1
R_9fejUROz26yL3rg,Sure they can. They are evolving fast and will a more common form of interaction.,positive,positive,True,positive,1
R_2nGVMCLqtI0x5cs,"I do partly believe so as some people are visual learners, and so seeing it happen in front of their eyes and described step by step may help students to learn more effectively.",neutral,neutral,True,neutral,1
R_1rjEXtNIRxXXqks,It would be too difficult to remove screens. Everyone on Earth gets their information from screens in some for and most do not trust robots.,negative,negative,True,negative,1
R_8kdIjjwap8QlDcp,I very much think so. I am cautious about them replacing human workers however in AI I believe they are perfectly fit and useful..,positive,positive,True,positive,1
R_2tmJB5CoCE6WMiV,Robots like this could be useful but I’d see this being way more advanced in 10 years so maybe they’d be obsolete.,negative,neutral,False,negative,1
R_8p3vVBfJy0Roc3J,"They will to an extent, however, they will be significantly more expensive ",neutral,neutral,True,neutral,1
R_8FLYQrJHbpeqZSZ,Yes. By interacting with physical objects the robots represent human dynamics more easily and its operations can be more clearly understood.,positive,positive,True,positive,1
R_1Oy8bRIzJQR51Fr,They should be able to replace screen-based systems though it is unclear about the cost involved. An 8000-dollar robot doesn't seem as useful as a 30-dollar program,neutral,neutral,True,neutral,1
R_30f5U6w60iM93JD,No because that is very complicated,negative,negative,True,negative,1
R_4qyuhOpAv1pDb5I,"I hope not - I think it gets rid of the written words for people to read to understand topics, could be used for kinestic and auditory learners",negative,negative,True,negative,1
R_1afQB5m6jBvqgNP,"Not really, this is more expensive than computers, has little value to general personal users ",negative,negative,True,negative,1
R_6QDtZGLLsEtrPI5,"NO. I believe that being totally autonomous is against human nature, and humans want to preform tasks themselves to ensure there are no mistakes",negative,negative,True,negative,1
R_2IQcXIbbogDw2w0,yes but robots like this can also be used in conjunction with screen-based computers as i think they both have their pros and cons,neutral,neutral,True,neutral,1
R_5Iyf6rPzSgWh1VV,Potentially yes as it seems a lot more interactive.,positive,neutral,False,positive,1
R_2OcWZE5dOzmAge2,"I think they can, but not in the time-frame. I think we're 20-30 years away from that",negative,negative,True,negative,1
R_1B5nbwHhWv5DQgX,"That thought really scares me. Yes, I do think they will have the capability to replace computers- but at what cost? Are robots going to phase human reliance out of existence? I don't really know a whole heck of a lot about computer vision but I know that the technological advances in robotics is astounding.",positive,neutral,False,neutral,1
R_3OJi71bedx9M6EX,Yes. 10 years is a long time in tech to get all the gimmicks in the right places to make robots feel more real and personal to everyone.,positive,positive,True,positive,1
R_8zdqNmleiEd0xrP,No because they move too quickly,negative,negative,True,negative,1
R_6Blzb0bED9W94iy,I think this is very possible and very exciting.,positive,positive,True,positive,1
R_3FUsjIYWarUkUww,Yes if the cost is right but I think it is an unnecessary demo that can be shown on 2D screen already,neutral,neutral,True,neutral,1
R_7xVkmT4BNtYI4Y3,"no, robots should not replace anything",negative,negative,True,negative,1
R_8dFgplArAmn6f3Z,No. Robots scare me.,negative,negative,True,negative,1
R_1JgTtvz5mg1hug9,"yes, I think robots with replace screen based computers",positive,positive,True,positive,1
R_9ZPso0RlDBUMy9M,"I firmly believe that in 10 years, it will have evolved so much that it will become more human-like. Its capability will be just as good or more advanced than we can imagine.",positive,positive,True,positive,1
R_8hEJi55VJjeUtYY,I do not think they could serve as a total replacement. Being able to showcase technologies like computer vision using a robot arm is more of an additional piece of equipment to help make people understand certain technologies in a more physical capacity.,negative,negative,True,negative,1
R_8Y8zZryy3GktQop,"I think certain fields that require physical effort would be good areas to replace screen-based computers, however things that can be demonstrating purely through vision wouldn't be applications for robots like this",neutral,neutral,True,neutral,1
R_6kyTpCCu9GYoPbo,"Yes, but I think it still needs human touch as it would be boring with only a robot",neutral,neutral,True,neutral,1
R_8ds4i0d09CqUCqF,"I don't think they could replace computers within 10 years. I think simple human input by touch/typing will still be relevant, and perhaps preferred by most people.",negative,negative,True,negative,1
R_7MSfiIjIEKxasoJ,"While robots like this could make learning more interactive, they are unlikely to fully replace screen-based computers in the next 10 years. Computers still offer greater flexibility for complex tasks, but robots can complement education by providing hands-on experience and real-world applications.",negative,negative,True,negative,1
R_6oZ1Pr3CVGah1x1,These robotic systems will improve hands-on education but cannot accomplish the complete replacement of screen-based computing technology during the coming decade. The use of computers represents an improved method of teaching advanced computational topics since they deliver flexible teaching approaches at reduced costs with scalable implementation for students.,negative,negative,True,negative,1
R_3GzqGQWzIqpd0Od,"I think it needs to be more fun if you are going to use it to teach kids.  Yes, the robot is cool, but he talks way above their level.",neutral,neutral,True,neutral,1
R_82ijMrop95eDmdU,"Yes, if done correctly this is possible. Actually seeing something in real life making real-life movements makes teaching easier.",positive,positive,True,positive,1
R_8jP7lYMKLjFr3eU,"I'm not sure a robot like this one would replace screen-based computers. Computers seem much more versatile, capable of a wide range of activities related to a wide range of topics - they are more flexible to the changing needs of education, whereas this robot or similar ones seem more limited in their scope.",negative,negative,True,negative,1
R_5rqoPufiRLCioNg,Yes because it is interactive and you could ask it questions and it would answer.,positive,positive,True,positive,1
R_6BY9LMBt0RUtaRr,"I would not think so.  This robot is just a task oriented robot and could not replace screens.  To illustrate a few tasks that robot could do and why they are doing them is good for this type of robot, but i don't think it is capable of replacing screen based computers",negative,negative,True,negative,1
R_5Gp7ANM4bxQFhIY,"In my opinion, it really depends on the costs. If the cost is low then I don't see why this cannot be an alternative. It also depends on how effective it is for students to learn this way.",neutral,neutral,True,neutral,1
R_2usyONwCihXdJtA,Probably not because the screen based computers still will be cheaper version and probably 3d hologram will be more useful than robots for educational purposes,negative,negative,True,negative,1
R_8gqOn0LrTueDJ7h,To teach people how things might get repaired or put back together.,neutral,neutral,True,neutral,1
R_1rrcFF1idPhXls8,"I don't think so. It would be too costly, and I don't think there will be enough improvement in the next 10 years where that will be necessary.",negative,negative,True,negative,1
R_21MZDKL60dVHwOg,"It could be a possibility, but some learners might find it more difficult to follow as they might be visual learner and need text to follow. It could work well for a kinaesthetic learner.",neutral,neutral,True,neutral,1
R_8A0yZomS94xeg5I,Yes because visual learning is easier to take in and remember,positive,positive,True,positive,1
R_2soGsZ2CGTpI5mB,Depends on the cost mainly. Screen based computers are probably more diverse,neutral,neutral,True,neutral,1
R_84jhlDod0FuX33e,"Yes, with further development I believe that this is very likely to be the case as robots will be able to explain well and clearly, including tailoring their language and complexity to people of differing abilities.",positive,positive,True,positive,1
R_8FRL08nVzOOpndM,"Probably not. Seems slightly impractical, I still think a screen will be the dominant form.",negative,negative,True,negative,1
R_85zF5gLA2nmc43D,Yes because I think hands on models would be a better teaching aid than screen based ones,positive,positive,True,positive,1
R_8C2PvHhW0Gy3CqJ,"Yes, it could save time in terms of the computer booting process",positive,neutral,False,positive,1
R_3EEDZLMPcORClAP,"For some people, especially those who are vision impaired, I can see that being very useful. But in general, I can't imagine people preferring a 3D object like a robot to screens. Part of that is because we haven't replaced books with something 3D.",neutral,negative,False,negative,1
R_21uL6vEDPUtjdB5,Yes. They can offer hands on learning and teaching of technical concepts.,positive,positive,True,positive,1
R_8GUsHgw3yA4XSMN,"I think probably not, but they could help enhance learning or more probably help with engagement of certain topics. The reason for not is due to the robot being able to demonstrate one or two specific parts of a topic where a screen can essentially show you anything.",negative,negative,True,negative,1
R_7dG3vBQOVnSkfxT,I guess so. The explanation was a little technical and it didn't really use any visual aids in exaining how it works. I think a screen based explanation could use more visuals in the explanation to make it clearer.,neutral,neutral,True,neutral,1
R_3QflQlhJ7fJfD74,maybe i am not sure if it is practical,neutral,neutral,True,neutral,1
R_2EhweLRd4IORk6F,This could help in a future. The question would be how much interaction you could have with the robot to ask question and explain wording and actions. If it is possibly then this could easier flowing passage of information. Intelligence and response of the robot would be crucial. As well as adapting the style when needed.,neutral,neutral,True,neutral,1
R_7r0yGOQ2nG4M70O,"Potentially, depending on the advancement of robots.  I think robots can be used to teach some technical topics, but not others.  Something like playing chess makes sense, but other more serious topics may not be appropriate.",neutral,neutral,True,neutral,1
R_4zJ7kSgnnoiiKHo,Yes they could - BUT might be that screen or VR based alternatives will be more appropriate and lower cost?,neutral,neutral,True,neutral,1
R_5CTxJ7lK5m4TSCf,"I think so. While this robot's explanation could be more comprehensive, it does a good job at clearly expressing what it does.",positive,neutral,False,positive,1
R_21CFjSyds5QELJf,"Not sure, I think in 10 years things will be more advanced than that",neutral,neutral,True,neutral,1
R_7JoZ4e1s8IMTNct,"Yes, and there could also be humanoid robots that mimic teachers which would make it seem more natural",positive,positive,True,positive,1
R_8FcfIDJVjVFXcHv,Yes as technology has been advancing very quickly,positive,positive,True,positive,1
R_816w9UU1DaYvFvZ,yes i think so because AI will become more intelligent. it already is very intelligent but will become more advanced and provide more services in line with what humans do now,positive,positive,True,positive,1
R_2oLoY7vaK8byc18,Yes it could because this helps with the learning since in person and not on a screen,positive,positive,True,positive,1
R_92Pcmt4dIdg755V,"I am not 100% sure, but I think they could replace screen based computers or at the very least augment them. The reason being that they would be able to physically show what the robot is doing and at the same time as it is doing it. I thing using robots also can have the appearance of being more interactive as it exists in the physical world, also robots are just cool.  ",positive,neutral,False,positive,1
R_4ig3zQOFkrpyJYS,"Yes, it is possible for robots to do such - if people can adapt and get used to such a shift. Not all humans may embrace such a change, even if technologically it is feasible and well more efficient.",positive,neutral,False,positive,1
R_25HhHDP3QnMa57l,"Robots may enhance but won’t fully replace screens in 10 years; cost, computing power, and adaptability still favor traditional computers.",negative,negative,True,negative,1
R_8kFl04aReBVyTP5,I think in regards to replacing computer vision I feel that it most likely will not be replaced as far as I am aware that it would be highly costly and it would require much more advanced infrastructure. Thus the benefits would out weight the costs and it was not be effective.,negative,negative,True,negative,1
R_8XbtBvFchV4wtfw,"Yes, this is because we are in a technology age and things are changing rapidly.",positive,positive,True,positive,1
R_6k6V6DAJH6QrD3e,"I am not very knowledgeable on this but I believe that technologies like that develops rapidly and allows replacement of many different tools with the same or better functionality. So, yes I think it can serve as a replacement.",positive,positive,True,positive,1
R_2couDPIJotRn2kV,"Yes, only because there are a lot of health hazards to spending time on Computer screens in comparison to robots like this.",positive,positive,True,positive,1
R_30AEgkmSBG77RTw,"Yes  think it could and I think this robot demonstrates it well. I also think having something move, versus just watching something on a screen is more appealing, and would lead to more visual learning.",positive,positive,True,positive,1
R_61BXwLNApcZKBsl,"Yes. This is a better demonstration than an on screen computer as it shows firsthand how computer vision happens, and explains while doing so through the speaker.",positive,positive,True,positive,1
R_28M15DxFyL7QSO5,"Yes they could, as they provide practical demonstrations. ",positive,positive,True,positive,1
R_9InhEGdlFEv81WD,I believe it is possible as long as there is a practical component to the teachings.,positive,positive,True,positive,1
R_7N2qpOF7C7D7A6O,"Hmmm, hard to say. I think screen-based computing will always prevail on a lot of things. I'd rather look at a diagram on a monitor than watch a robot draw the same diagram on a whiteboard, for example.  While the chess bot is cool, I think the concepts would be easier for me to understand, personally, if I were just reading about them on a monitor.",negative,negative,True,negative,1
R_2kOGM37Gbj3AzLP,I think it is possible because the robot is better at demonstrating practical aspects of a technical situation than a screen based computer is.,positive,positive,True,positive,1
R_28V8odNG5Bm60Ud,I think no because children prefer to use screens and it feels like a backwards step.,negative,negative,True,negative,1
R_87DKOB0tu4hf3Lb,Robots can replace existing screen-based computers. They can show how to accomplish technical tasks in 3 d and will be better able to simulate real-world scenarios.,positive,positive,True,positive,1
R_8QtsvQAgowLbuDt,Yes. Because AI is gradually taking over different sectors of the world.,positive,positive,True,positive,1
R_80ZsrmfF3bDNYZ0,"Not a replacement entirely, but some times yes. It depends on what information is required.",neutral,neutral,True,neutral,1
R_8li4jt193Uo5jws,"yes, it seems to explain things clearly, and maybe voice is more accessible for 10 year olds. It also sounds unintimidating, whereas maybe children of that age would find written instructions a bit boring and intimidating, so it may be better in that way",positive,positive,True,positive,1
R_3yDMHpNQn4tiAal,"No, I do not believe, robots do not have emotions ",negative,negative,True,negative,1
R_69xwUtR8SWOH2XT,"Absolutely, especially with AI super intelligence, that could learn from the observers and make a tailor-made explanation that strives for maximize effectiveness in explaining the topic.",positive,positive,True,positive,1
R_6djeWIbJgOoRpgR,"It’s possible that robots like this could become more common as educational tools, but they are unlikely to fully replace screen-based computers. While robots can provide hands-on, interactive learning, computers offer greater flexibility for in-depth research, simulations, and large-scale accessibility. However, robots could complement traditional learning by providing a more immersive, real-world application of AI and computer vision concepts.",negative,neutral,False,negative,1
R_5ta1hFyhfc6yK8o,possible that robots can play a bigger role but high infrastructure and maintenance costs will likely limit widespread adoption,neutral,neutral,True,neutral,1
R_6WCoan6unMP4g02,"I assume this question is with respect to explaining computer vision to students who want to know how it works in detail.  In my experience having a real, hands-on example of something to study is infinitely better than having a computer simulated version of it (I assume that is what ""screen-based computers refers to).  It is way more fun/exciting to be able to peek and poke at something in real life.  Having said that, In 10 year I suspect (fear?) that AI will be creating the bulk of the software in the world, including the software use in robots.  As a result I do not think that in 10 years there will be a need for a class on computer vision to educate students.",neutral,neutral,True,neutral,1
R_4WT3ZV67AQDj1j8,"Yes, they would be valuable in showing real-world applications of technologies.",positive,positive,True,positive,1
R_2fCpd8YBVk6Pdlb,I DO NOT THINK THAT ROBOTS WOULD TAKE OVER COMPLETELY FROM EXISTING SCREEN COMPUTERS COS OF ETHICAL REASONS AND EMOTIONAL ATTACHMENTS  THAT PEOPLE HAVE CULTIVATED OVER THE YEARS.,negative,negative,True,negative,1
R_3Ih0FguXopmtxPi,"Sure, providing budgets are able accommodate it. A computer screen may not be able to speak, but it is cheaper, and I know that in most learning environments, budgets can be tight. The functionality of the robot would have to justify its likely much greater price point.",neutral,neutral,True,neutral,1
R_3Ecp7veyfMzC2tb,"Most definitely, being able to watch in a three dimensionally is really helpful in memory and understanding a lot of things and could be adjusted to different versions of levels according to who this demo is being showed. At the same time, all in this life is not about technology and sometimes we need to exercise this ""muscle"" of our imagination and be able to grasp abstract things that makes us humans.  ",positive,positive,True,positive,1
R_6JOQ1GUqogFjWWu,"I think there will be ways that robots can be used in preference to screens within the next 10 years, but I think that the mobility and personalization of a personal screen will be hard to replace.  There might be replacement in certain environments to assist in learning.",neutral,neutral,True,neutral,1
R_1XaJ1PGDumAomuR,no. robots cannot explain in the way a human can because robots learn differently,negative,negative,True,negative,1
R_3gOzOP5bnY54pyv,"If you mean that people would asked robots with voices to explain things instead of reading about them themselves... my answer is maybe. I'm sure those will exist--the kind of do already, with Siri or Alexa, but in my experience those types of programs are less helpful than manually looking on a topic on your own and reading about something at your own pace, in a way that works best for you. It's much easier to go back if you clicked the wrong link than to wait for the robot to finish its explanation if it's talking about the wrong topic; a screen also shows you multiple options at a time, but a screenless robot can only talk about one thing from one source.",neutral,negative,False,neutral,1
R_2v9dL1JWW9jNpfd,"Using robots to teach technical subjects like computer vision offers exciting potential.  Hands-on learning with robots could be more engaging and effective than screen-based methods, bridging theory and real-world applications. However, challenges include cost, complex software development, curriculum integration, accessibility, maintenance, and scalability.  While promising, widespread adoption requires addressing these hurdles.",neutral,neutral,True,neutral,1
R_87n6wN1iUhp00lb,Not sure but scientists are working hardly to improve the quality of robots,neutral,neutral,True,neutral,1
R_81ARCNDoP9ZBn0b,yes possibly.it explains how it works which is a question lot of people have already and with the above vidieo it does that quite well,positive,neutral,False,positive,1
R_5lgluSIp8OToJsB,I am not sure if it would replace existing methods but it may be a larger alternative than it is now.,neutral,neutral,True,neutral,1
R_195niq2qeiLu6kc,i think so cause of how advance this robot is  it can help teach newcomers on how to adept to new technology.,positive,positive,True,positive,1
R_5EZF8P3mzB58UDf,I don't think it will replace existing screen-based computers because I think it will cost too much.,negative,negative,True,negative,1
R_7RPP0qg337rN9uy,"Yes I believe that is very possible! As some people tend to learn better when it is an more Hands-On experience, or when they can visually see the representation of the proper way(s) to do, and accomplish certain tasks, problems, & experiments! This is all of course if within the next 10 years we do make some prominent advances in ai and it being able to work with physical robot in-pairs without negative side effects so to speak.",positive,positive,True,positive,1
R_1uEepJvWS1I3OfZ,"As fast as AI is improving and evolving, I can see this happening in the next ten years if we put in the certain parameters to control it. We don't need any rogue A.I.",positive,positive,True,positive,1
R_1qypsIPnufmpQzx,"Maybe, but I find the voice to be irritating. I prefer more humanlike voices where the intonation and cadence is more natural.",neutral,neutral,True,neutral,1
R_8B2iM97Oek4EIMB,"I’m not sure, it depends on the practical usage. This particular robot seems to have a very specialised knowledge, whereas a screen based computer does many different things.",neutral,neutral,True,neutral,1
R_68FCUwYgg9kEKp9,I think it may be able to replace. It's good to be able to see and understand things with a 3d model. I think it is also more entertaining to watch,positive,positive,True,positive,1
