StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1,Q2,Q3,Q4,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q15,Q16,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27,Q28,Q29,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42,PROLIFIC_PID,Group
2/12/2025 22:39,2/12/2025 22:45,IP Address,172.58.50.3,100,321,True,2/12/2025 22:45,R_1qmWoMHnhpce1bX,,,,,29.7912,-95.4182,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,1-3 days a week,No,,,,,,Definitely yes,"It's very complex, which would make it too expensive for schools. You don't need a physical robot for this, although it might be more effective. The technical quality is good. It has a very robotic voice, and loud movements. ","You might make the voice more human, and make the robot's movements less noisy, and mechanical. ","I think that's too early, and it would be too expensive. We'd use other less expensive methods, like a video. ",Probably yes,,,,,,38,Female,Some University but no degree,Moderately,Very,No,Not at all,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,,5c2805401d4eb70001177bfc,2
2/12/2025 22:36,2/12/2025 22:45,IP Address,45.23.103.174,100,555,True,2/12/2025 22:45,R_7QzNPdA4ydCELbH,,,,,35.1063,-89.941,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Less than once a month,No,Probably yes,The robot seems to move smoothly and explains in detail how it is learning to use the chess game.,Maybe use different voices for different scenarios so people can relate more to the robot.,Maybe in some scenarios but not all. I think it would be good to teach certain visual to people in a classroom as addition to screens.,Probably not,,,,,,,,,,,44,Female,Secondary,Very,Extremely,No,Not at all,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Thank you for the study.,669d70875bed73f3e2ce81de,1
2/12/2025 22:40,2/12/2025 22:46,IP Address,97.135.247.38,100,330,True,2/12/2025 22:46,R_50hMUayYB7dptbW,,,,,38.7142,-90.2759,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Never,No,,,,,,,,,,,Probably yes,"very loud and very large machine to have inside your home, looks like it would also be expensive to fix which may make people not purchase","make it smaller, takes up a lot of space","maybe if you are already into playing games but i dont think tv watchers are playing chess instead, not really the same way to spend free time",Neutral,28,Female,Secondary,Not at all,Not at all,No,Not at all,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,,67acba85ff7cef57e13f46b5,3
2/12/2025 22:41,2/12/2025 22:46,IP Address,198.29.49.137,100,329,True,2/12/2025 22:46,R_51Es4U6LJcbQWhM,,,,,33.8769,-79.0512,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,1-3 days a week,No,,,,,,Definitely not,It is extremely detailed and articulate for a robot.,If you actually want to sell it to schools it needs to be cheaper and way more simple. That is a whole robot with massive amounts of technology required to operate and upkeep. A public school teacher will be lost.,No. It is too expensive and usually only serves a couple purposes. why would I want  a chess robot over a Ipad that can do the same and everyone else.,Definitely not,,,,,,24,Female,Primary,Moderately,Not at all,No,Not at all,Machines surpass humans,Machines surpass humans,Humans surpass machines,Humans surpass machines,Machines surpass humans,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,,670da3fd0b8a2f7a542a2b24,2
2/12/2025 22:40,2/12/2025 22:46,IP Address,172.73.96.232,100,382,True,2/12/2025 22:46,R_5BRFcotHZ32CgBb,,,,,35.3135,-81.5599,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,About once every 2 weeks,No,,,,,,,,,,,Probably yes,The technical quality of the robot is impressive. A positive aspect of the robot is that it can provide you with entertainment. A negative aspect of the robot is that it could cheat and be unfair.,"I do not. I think that the robot is very well equipped, and can provide significant entertainment and knowledge.","Yes I think so, it is already common for robots to preform human's jobs. In 10 years it will only be more advanced.",Probably yes,18,Female,Some University but no degree,Not at all,Slightly,No,Not at all,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,N/A,67acfb33ae01aef26d0c309a,3
2/12/2025 22:37,2/12/2025 22:46,IP Address,68.12.157.164,100,522,True,2/12/2025 22:46,R_5Kxqw6pc9qG2EH5,,,,,35.4619,-97.3932,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Never,No,Probably yes,I think the performance was great especially with vocalizing and visualizing what it was demonstrating. ,"No, I do not have any recommendations. ","Possibly, but I think people could benefit from learning from both.",Definitely not,,,,,,,,,,,38,Female,Some University but no degree,Slightly,Slightly,No,Not at all,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,,66cce0367672d03346bbe04c,1
2/12/2025 22:40,2/12/2025 22:47,IP Address,35.148.95.23,100,385,True,2/12/2025 22:47,R_3LKiyRiEJRSupO1,,,,,44.6615,-90.179,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Never,No,Probably yes,Seems very precise and able to explain in a fairly easy to understand fashion.,I do not have any recommendations for this model.,I do. I feel that their are various situations were have to read something on a screen does not explain as well as a person point things out. A robot like this could replicate that experience.,Probably yes,,,,,,,,,,,29,Male,University - Bachelors Degree,Very,Very,No,Slightly,Humans surpass machines,Humans surpass machines,Machines surpass humans,Humans surpass machines,Machines surpass humans,Humans surpass machines,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,,67acc8e7960b324d7124749b,1
2/12/2025 22:42,2/12/2025 22:47,IP Address,82.3.218.114,100,273,True,2/12/2025 22:47,R_2AKCElsCN3FK9e9,,,,,51.5507,-0.0537,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,1-3 days a week,No,,,,,,,,,,,Definitely yes,"The smoothness of the movement mirrors that of a human, which would be nice to play against. Whereas the person playing against the robot may be discouraged becuase of its ominous physical appearance",Make it look more approachable.,"yes, because our society desires more hands-on forms of automated entertainment.",Neutral,21,Female,Some University but no degree,Moderately,Moderately,No,Slightly,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,,67606cf8f87fd914cb80d7c9,3
2/12/2025 22:42,2/12/2025 22:48,IP Address,67.167.170.137,100,399,True,2/12/2025 22:48,R_3Nqfuz1chvegwPK,,,,,42.1955,-83.4894,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Never,No,Probably yes,The robot seems to be of good quality. It's explaining things quite well.,"Maybe explain things in more laymen's terms. This may be difficult to understand to some younger people, or older people for that matter.","Maybe. I don't really know what your asking. I think computers will still have a place in educating people in 10 years. I'm sure robots will also have a role, but not sure they'll be a replacement for computers altogether.",Definitely not,,,,,,,,,,,40,Male,Vocational or Similar,Moderately,Not at all,No,Not at all,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,,67007d655b10fbe2d93c3508,1
2/12/2025 22:44,2/12/2025 22:49,IP Address,184.98.42.81,100,285,True,2/12/2025 22:49,R_1JQRZU3IUsIYnAP,,,,,33.5922,-112.0029,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Less than once a month,No,,,,,,Probably not,"The robot is obviously well able to move pieces on the chessboard. However, when it is talking about exerting influence on the the d5 square, it seemed to be trying to point, but it wasn't clear which square it was pointing to.",Maybe a laser pointer to emphasize different squares that it's talking about without having to touch the board.,I don't see anything that this adds to a computer based model that a human wouldn't do better. It seems like everything required could either be done by a screen based computer or an actual person.,Definitely not,,,,,,32,Female,University - Bachelors Degree,Not at all,Slightly,No,Moderately,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Humans surpass machines,Humans surpass machines,,66aa8a00cb81056a0cdb9216,2
2/12/2025 22:46,2/12/2025 22:49,IP Address,77.101.16.253,100,191,True,2/12/2025 22:49,R_8TKWbdjs1BjkQPT,,,,,52.4918,-1.8598,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,1-3 days a week,No,,,,,,Probably not,"Good robot, nice movement. can explain moves","make the robot explain in a better way that the child can understan d, try trial and eroror witht he child to demonstrate principles","yes, bcus someone will code em better, and teach better",Neutral,,,,,,21,Male,Some University but no degree,Very,Slightly,No,Moderately,Humans surpass machines,Humans surpass machines,I prefer not to respond,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,,6765de7067ea602040582812,2
2/12/2025 22:44,2/12/2025 22:49,IP Address,47.4.200.77,100,322,True,2/12/2025 22:49,R_3zkznt2o2YAdllz,,,,,33.9461,-83.418,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Never,No,,,,,,Probably yes,The robot is a good size.  Would be good in a school library.  To not bother others around it would be good to have headphones.,A little smaller.  More humanized voice,not replace... computers can go with you anywhere.  They are more handy.,Definitely not,,,,,,46,Female,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree, etc.)",Not at all,Moderately,No,Not at all,Humans surpass machines,Humans surpass machines,Humans surpass machines,Machines surpass humans,I prefer not to respond,Humans surpass machines,I prefer not to respond,Humans surpass machines,Machines surpass humans,Humans surpass machines,Humans surpass machines,,66c100a982dea4588b575748,2
2/12/2025 22:44,2/12/2025 22:49,IP Address,76.32.81.22,100,292,True,2/12/2025 22:49,R_1HMrtTwxldcaIve,,,,,33.8631,-118.3923,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,1-3 days a week,No,,,,,,,,,,,Probably yes,The technical quality of the robot is astounding as it's able to mimic the dialogue and quote from the movie while performing the move itself. It isn't messing up the move at all and seems to be precise in the actions it does.,I don't have recommendations really,I don't think so because shows/movies have many elements tied into it and don't employ just 1 element of entertainment for us at a time. It wouldn't be enough to capture our attention and take away tv/,Neutral,25,Male,University - Bachelors Degree,Moderately,Moderately,No,Not at all,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,Humans surpass machines,"the portion of the survey with humans vs robots for tasks was confusing. Not sure if we pick one option for all 11 questions, or if we actually picked either option for each one.",665f5d89f194e7b4dddd91a7,3
2/12/2025 22:43,2/12/2025 22:49,IP Address,71.237.145.80,100,357,True,2/12/2025 22:49,R_5v37ckRvW5jDuz2,,,,,45.461,-122.7052,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,Less than once a month,No,,,,,,,,,,,Probably yes,The whirring was a bit loud but otherwise it looked as if it moved smoothly and precisely.,Reduce whirring noise. Maybe change the shape a bit? I am not sure what would be better exactly but it looks like a microscope. ,"Not entirely, it might be able to play games or talk to you but it's not passive like television. Sometimes you just want to sit and not think.",Probably yes,60,Other,University - Bachelors Degree,Moderately,Moderately,No,Not at all,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,it was an interesting topic,654c1c56d6753c97aee29f70,3
2/12/2025 22:42,2/12/2025 22:49,IP Address,184.182.46.139,100,441,True,2/12/2025 22:50,R_5Pmwq7vssQGs3pT,,,,,33.0314,-111.3873,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,About once every 2 weeks,No,,,,,,Probably yes,"The quality of the robot is impeccable. Its simplicity is its most positive aspect. A chess robot needs only be able to move the pieces, nothing fancy is added.",None. The robot has everything it needs to do the task it is programmed to do.,"Probably not. While the robot is interesting and may have its uses, computers are already widely available and convenient. This robot is specialized to do just one thing, while a computer is good for many.",Definitely yes,,,,,,33,Male,Some University but no degree,Extremely,Moderately,No,Moderately,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,I have nothing to add. I enjoyed my time taking this survey.,6627f35daa1d765f0335a458,2
2/12/2025 22:38,2/12/2025 22:50,IP Address,161.8.163.228,100,737,True,2/12/2025 22:50,R_1KJwoPhrvDV9I7h,,,,,37.751,-97.822,anonymous,EN,0.899999976158142,I agree to participate and understand that my participation is voluntary,Yes,1-3 days a week,Yes,,,,,,Definitely yes,"The robot appears well-designed with precise movement and good integration with the chessboard, making it suitable for automated gameplay or teaching. However, it may lack human-like dexterity and could be slow in executing moves, which might affect real-time gameplay efficiency.","optimizing its movement speed and grip mechanism would make interactions smoother and more efficient, improving the overall user experience.","Within 10 years, robots like this could complement but not fully replace screen-based computers for improving chess skills, as digital platforms offer faster analysis and deeper strategic insights. However, advancements in AI and robotics could make physical chess-playing robots more interactive and engaging, especially for education and hands-on learning experiences.",Definitely yes,,,,,,31,Female,University - Bachelors Degree,Extremely,Very,No,Moderately,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Humans surpass machines,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,No comments,67a72a2a346c08cd36e7860a,2
2/12/2025 22:45,2/12/2025 22:51,IP Address,168.235.147.108,100,336,True,2/12/2025 22:51,R_5pbSouhp2lQRoAz,,,,,42.8864,-78.8781,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,4-6 days a week,No,,,,,,Probably yes,The voice is very robotic but the operation is clear plus the guidance of the next steps,Maybe use a more human voice.,"Yes. The field is really coming up. It is very likely that we will even own then in our homes, having to require license for one.",Definitely yes,,,,,,44,Male,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree, etc.)",Extremely,Not at all,No,Slightly,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Very good survey,67aa3d8099705a4e70e01e2e,2
2/12/2025 22:47,2/12/2025 22:52,IP Address,84.67.179.145,100,317,True,2/12/2025 22:52,R_2n7zbZ0dxZe7WWJ,,,,,51.5507,-0.0537,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,1-3 days a week,No,,,,,,Definitely yes,It explains which is a positive ,The rotating head cut my attention and I believe it should be improved not to hit a player when the robot is playing with a human ,I believe it can work with a human interaction. I believe the place of human interaction should not be removed to learn chess,Probably not,,,,,,37,Female,"Graduate or professional degree (MA, MS, MBA, PhD, Law Degree, Medical Degree, etc.)",Very,Slightly,No,Moderately,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,Machines surpass humans,None at the moment ,677307283aa68a4bf2fa2c72,2
2/12/2025 22:47,2/12/2025 22:52,IP Address,75.67.58.0,100,325,True,2/12/2025 22:52,R_3WD9kgiVjiRbrBb,,,,,42.8133,-70.8814,anonymous,EN,1,I agree to participate and understand that my participation is voluntary,Yes,About once a month,No,,,,,,Probably not,The movement was a little noisy.,make it quieter. The noise is distracting. ,"Perhaps. I am not sure the verbal instructions alone are as good as the visual with diagrams. On the other hand, there is value in looking at the board in the normal way. ",Probably yes,,,,,,66,Male,University - Bachelors Degree,Moderately,Extremely,No,Slightly,Humans surpass machines,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,Machines surpass humans,Humans surpass machines,Machines surpass humans,Machines surpass humans,Humans surpass machines,,6151d8d588b576b7713db600,2
