"Response ID","Q6_Response","Group"
"R_9ZPso0RlDBUMy9M","The only thing is the voice, is still very robotic, it could have a more friendly voice.","1"
"R_8hEJi55VJjeUtYY","The only thing I would improve based on what I can see in the short video is the sound it makes. I would imagine hearing the mechanical noises it makes over and over again may become annoying.","1"
"R_8Y8zZryy3GktQop","Maybe making the robot as a humanoid would appeal more towards the students at school.","1"
"R_6kyTpCCu9GYoPbo","I think the robot could be more humanized","1"
"R_8ds4i0d09CqUCqF","Perhaps the language used by the robot could be simplified for use in schools. It could also do with being quieter when it moves.","1"
"R_7MSfiIjIEKxasoJ","Although the robot already has voice assistance, improving its speed of piece recognition and movement would make interactions smoother. Additionally, enhancing its ability to explain strategies in more detail could further improve its educational value.","1"
"R_6oZ1Pr3CVGah1x1","The robot could be improved by increasing its movement speed, enhancing its vision system for better piece recognition, and refining its grip for smoother handling of chess pieces.","1"
"R_3GzqGQWzIqpd0Od","I think the robot needs to explain what the grid is and how he is calculating the position of each piece. ","1"
"R_82ijMrop95eDmdU","Not really. It appears to do what it was made to do. Design-wise it looks fine. ","1"
"R_8jP7lYMKLjFr3eU","If the aim is to have it speak to school children, some of its language may need to be simplified. Potentially incorporating some sort of digital ""face"" onto it may make it more appealing to children, particularly the young.","1"
"R_5rqoPufiRLCioNg","Make it look more like a cute robot that a child would want to talk to.","1"
"R_6BY9LMBt0RUtaRr","I think this is what a perception of the robot is, this is a low-task robot so I don't think aesthetics will matter in perception of a capable robot","1"
"R_5Gp7ANM4bxQFhIY","When the robot is moving the sound is a bit too loud in my opinion so it can be quieter. Also, I would prefer if the robot makes its actions faster as it takes too long to calculate. ","1"
"R_2usyONwCihXdJtA","I can't give any recommendations because I don't have enough knowledge about robots ","1"
"R_8gqOn0LrTueDJ7h","If it's for younger kids maybe a digital face or something so it looks less snake like.","1"
"R_1rrcFF1idPhXls8","If the view of the robot was the whole board, which could be preprogrammed, then all it needs to do is be able to sense and understand where the pieces are. The robot should not move until it's ready to move its own piece.","1"
"R_21MZDKL60dVHwOg","The language that the robot speaks should be more straightforward to laypeople.","1"
"R_8A0yZomS94xeg5I","I think the voice needs improved ","1"
"R_2soGsZ2CGTpI5mB","If to be used in a primary and it could look more child friendly","1"
"R_84jhlDod0FuX33e","No.  Aside from that I think the voice is a bit stilted, but clearly that would be resolved during development. ","1"
"R_8FRL08nVzOOpndM","No, it seems as though it is operating as it should.","1"
"R_85zF5gLA2nmc43D","A different and friendlier voice would be better. ","1"
"R_8C2PvHhW0Gy3CqJ","Include human interaction allowing slow response for the robot too","1"
"R_3EEDZLMPcORClAP","The robot is explaining that it detects occupancy and things like that, but I don't know how the robot is measuring those things. I'm sure it's very complicated, but it'd be neat to know what criteria it uses to determine whether a space on the board is occupied or not.","1"
"R_21uL6vEDPUtjdB5","Improve it to detect the chess board without needing the markers. ","1"
"R_8GUsHgw3yA4XSMN","Apart from the robot actually demonstrating moving the pieces I don't have any recommendations on improving the robot.","1"
"R_7dG3vBQOVnSkfxT","The exanation could simiplified a little better.","1"
"R_3QflQlhJ7fJfD74","I find it a bit cumbersome","1"
"R_2EhweLRd4IORk6F","The simplification of the language possibly.","1"
"R_7r0yGOQ2nG4M70O","Potentially putting some kind of camera that can detect the type of chess piece quicker","1"
"R_4zJ7kSgnnoiiKHo","Maybe options for less technical language. How about allowing keyed or spoken questions from the audience?","1"
"R_5CTxJ7lK5m4TSCf","Its movements could be quieter and less ""jerky"".","1"
"R_21CFjSyds5QELJf","I'd try to make it quieter","1"
"R_7JoZ4e1s8IMTNct","I think it's really good as is","1"
"R_8FcfIDJVjVFXcHv","Try to add more emotion/ a different pace when talking","1"
"R_816w9UU1DaYvFvZ","the voice can be a bit more human and personable","1"
"R_2oLoY7vaK8byc18","If it is going to be used in schools then simpler terminologies should be used to allow them understand the game better","1"
"R_92Pcmt4dIdg755V","No I thinks the style of robot is well suited to this application. You could put a face on it but that would just be creepy. not all robots have to look human. In fact I would say that no robots should look human.","1"
"R_4ig3zQOFkrpyJYS","Perhaps if there were some visual laser/light markers to visually depict / mark on the chessboard itself the different areas the robot looks at while it works?  Although personally I can figure it out myself, some people kind of need those 'visual' cues ( aka like some scanning beam they can see ).","1"
"R_25HhHDP3QnMa57l","my recommendations about how to improve the robot is have more of human voice and clear voice in place like school ","1"
"R_8kFl04aReBVyTP5","only recommendation is the appearance.","1"
"R_8XbtBvFchV4wtfw","Introduction of additional AIs could be more beneficial.","1"
"R_6k6V6DAJH6QrD3e","Making it smaller or lighter would make it more usable. But it can also help to make it look like a real human.","1"
"R_2couDPIJotRn2kV","There should be more showing than telling for instructional robots","1"
"R_30AEgkmSBG77RTw","The robot kind of looks like a hand mixer. I think if it had a better shape, it would make it more appealing. ","1"
"R_61BXwLNApcZKBsl","Make it smaller so that it doesnt take up as much space","1"
"R_28M15DxFyL7QSO5","No recommendations to offer. ","1"
"R_9InhEGdlFEv81WD","I believe it would be better to verbalize the coordinates (A1, B2, C3, etc...) when describing it's ""thought"" process. ","1"
"R_7N2qpOF7C7D7A6O","None. It's really cool and I wish I could see the whole demo. Maybe go into some more detail as to what an ArUco marker is, or how occupancy and piece classification works.","1"
"R_2kOGM37Gbj3AzLP","I would add a spotlight beam so it is obvious which part of the board the robot is looking at.","1"
"R_28V8odNG5Bm60Ud","Make it appear more human if used in schools","1"
"R_87DKOB0tu4hf3Lb","The robot should communicate in more straightforward language. Perhaps a nickname for the robot would be good too.","1"
"R_8QtsvQAgowLbuDt","The voice should sound more human rather than a robot. It should also be well paced.","1"
"R_80ZsrmfF3bDNYZ0","sometimes people like robots to be humanised ie with eyes","1"
"R_8li4jt193Uo5jws","no, it seemed helpful and comprehensive. i can't think of any faults or need for improvement ","1"
"R_3yDMHpNQn4tiAal","I do not have enough evidence to believe this would be good for scholars ","1"
"R_69xwUtR8SWOH2XT","A hyperactive kid might zone out when it hears ""ArUco"" or  ""occupancy and piece classification,"" so for students, the robot has to have more of a teacher and conversational voice. Also the voice was picked to sound ""sci-fi"" when it should be picked to sound like a human","1"
"R_6djeWIbJgOoRpgR","Faster processing to ensure smoother and more responsive game-play. Improved speech synthesis to make its explanations sound more natural and engaging.","1"
"R_5ta1hFyhfc6yK8o","voiced feedback to explain moves, strategies, or errors","1"
"R_6WCoan6unMP4g02","Does the robot have any logic to detect if the opponent has made any illegal moves (that is, they are cheating).","1"
"R_4WT3ZV67AQDj1j8","It should use plain language to explain what it is doing.","1"
"R_2fCpd8YBVk6Pdlb","IF IT CAN BE MINIATURIZE TO OCCUPY LESS SPACE THAT WOULG BE GOOD","1"
"R_3Ih0FguXopmtxPi","None come to mind based on a 28 second video. There is likely more the robot can do that I just haven't seen yet.","1"
"R_3Ecp7veyfMzC2tb","I see that the robot is moving around doing its thing, but it would be interesting that a beam or a light could point out what it's referring to while giving the explanation. For example, I didn't know what an ArUco marker was until I saw and deduced while watching the video.","1"
"R_6JOQ1GUqogFjWWu","No, I don't know enough about robots to recommend an improvement.","1"
"R_1XaJ1PGDumAomuR","it could definitely be less loud. it also did not talk in terms most people would understand  ","1"
"R_3gOzOP5bnY54pyv","I do not. The survey is requiring me to write at least twenty characters before I submit, though, so I'll say that it doesn't look very portable. I realize the arm is huge and heavy, but a chess-playing robot that can be moved around easily (and put away easily) would be better than one that's stuck on a big table.","1"
"R_2v9dL1JWW9jNpfd","To ensure responsible robot usage, focus on human-robot collaboration, prioritize ethical guidelines and accountability, rigorously test and establish safety protocols, invest in relevant education and training, and encourage ongoing research and innovation.","1"
"R_87n6wN1iUhp00lb","No it’s already perfect ","1"
"R_81ARCNDoP9ZBn0b","right now, i have no recommendation. ","1"
"R_5lgluSIp8OToJsB","I would just try to simplify the descriptions of robot uses","1"
"R_195niq2qeiLu6kc","nothing seems pretty smart ","1"
"R_5EZF8P3mzB58UDf","can't think of anything","1"
"R_7RPP0qg337rN9uy","So far nothing! Maybe explain with not so technical terms or use simple words when the robot engages whenever it is used for the youth. But for specifications of this study in particular, no nothing to recommend right now!","1"
"R_1uEepJvWS1I3OfZ","No, I don't have any recommendations.","1"
"R_1qypsIPnufmpQzx","This is a personal preference, but I find that natural human voices are easier for me to pay attention to and follow.","1"
"R_8B2iM97Oek4EIMB","Make the language less technical, it’s difficult to understand. The robot has a very basic appearance and doesn’t see able to perform any other functions.","1"
"R_68FCUwYgg9kEKp9","I would try to explain the process in much simpler words that children would find easier to understand.","1"
"R_8fHfbEIAzpaM9gt","Possibly make the robot move in a way whilst talking that goes closer to the chess board so it is even more understandable what the robot is showing whilst it is explaining.","1"
"R_5CUIMQiwe7KvsBc","Probably add a few steps in regards to what it can do with this information and how it processes it all. ","1"
"R_8LkKzT92Vkd3zeF","Maybe be more on level with the age it is talking too. Not so professsional posh sounding. ","1"
"R_8h6p636qUpObUHF","perhaps have the speech a bit slower","1"
"R_8YXKAE4qh584lHr","I don't know enough about robotics to make any recommendations.","1"
"R_5Pn33w6yljx6Uda","It could look more human","1"
"R_4W5C6zoRTBmn4pH","The voice can be better, more human","1"
"R_3D0NwWA1A4pE3tL","Normal voice would suffice","1"
